state, action
0110011101110011101010101010101010101010001010100100110000101000,14
0110011101110011101010101010101010101010001010100100110000011000,10
0110011101110011101010101010101010101010000110100100110000011000,10
0110011101110011101010101010101010101010100010100100110000011000,12
0110011101110011101010101010101010101010100010100010110000011000,12
0110011101110011101010101010101010101010100010100001110000011000,12
1001101101111001101001011010101010100101010010100100100001001100,9
1001101101111001101001011010101010101010010010100100100001001100,5
1001101101111001101010101010101010101010010010100100100001001100,1
1001110101111001101010101010101010101010010010100100100001001100,1
1001111001111001101010101010101010101010010010100100100001001100,1
1001011101111001101010101010101010101010010010100100100001001100,0
1100011101111001101010101010101010101010010010100100100001001100,0
0110011101111001101010101010101010101010010010100100100001001100,3
0110011101111100101010101010101010101010010010100100100001001100,3
0110011101110110101010101010101010101010010010100100100001001100,3
0110011101110011101010101010101010101010010010100100100001001100,15
0110011101110011101010101010101010101010010010100100100001000110,15
0110011101110011101010101010101010101010010010100100100001000011,15
0110011101110011101010101010101010101010010010100100100001001001,12
0110011101110011101010101010101010101010010010100010100001001001,12
0110011101110011101010101010101010101010010010100001100001001001,12
0110011101110011101010101010101010101010010010101000100001001001,10
0110011101110011101010101010101010101010001010101000100001001001,10
0110011101110011101010101010101010101010000110101000100001001001,10
1100111001111001010110100101010101011010010101010100000101000010,8
1100111001111001010110100101010110101010010101010100000101000010,7
1100111001111001010110100101101010101010010101010100000101000010,6
1100111001111001010110101010101010101010010101010100000101000010,4
1100111001111001101010101010101010101010010101010100000101000010,13
1100111001111001101010101010101010101010010101010100100001000010,11
1100111001111001101010101010101010101010010110100100100001000010,10
1100111001111001101010101010101010101010101010100100100001000010,1
1100011101111001101010101010101010101010101010100100100001000010,0
0110011101111001101010101010101010101010101010100100100001000010,3
0110011101111100101010101010101010101010101010100100100001000010,3
0110011101110110101010101010101010101010101010100100100001000010,3
0110011101110011101010101010101010101010101010100100100001000010,15
0110011101110011101010101010101010101010101010100100100001000001,15
0110011101110011101010101010101010101010101010100100100001001000,14
0110011101110011101010101010101010101010101010100100100000101000,14
0110011101110011101010101010101010101010101010100100100000011000,14
0110011101110011101010101010101010101010101010100100100010001000,12
0110011101110011101010101010101010101010101010100010100010001000,12
0110011101110011101010101010101010101010101010100001100010001000,12
